filter,full_score,full_mean,full_std,full_sharpe,full_worst,test_score,train_score,roll_mean,roll_min,roll_neg_count
abs_market2_le_0.015,865.6237699969502,920.8983832784005,3679.425250658248,3.957325106965393,-11820.792395800003,914.3670599903176,833.4906113427268,602.0412417443921,62.281403306006126,0
abs_market2_le_0.02,782.431381708621,859.9610216703968,4280.155274313759,3.176795411797158,-12545.604627799941,850.0399000673779,737.0316748987751,483.7843617532684,65.3479114341802,0
disp2_le_0.02,13.608301516590755,23.541019049599846,318.00016405552014,1.1704905697022012,-52.2436232,7.011739553310435,20.203293914244373,10.920070190204369,0.0,0
disp2_le_0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
disp2_le_0.03,539.4165230707501,610.8467347616007,3514.6421006496084,2.7480280037139213,-12545.604627799941,789.7165189522801,368.05630677557394,325.32700584172443,-116.67859975998994,1
coherence_ge_0.2,537.2134379332853,640.7703710831962,4448.243805357475,2.2776335093567948,-12494.702602799982,522.5234026765478,547.0119777329552,303.4162439047264,-437.62309764999895,2
trend5_same_le_0.01,478.2573875669409,551.6903400655974,3418.0627818582657,2.552027491975536,-11769.593251999933,271.83340082366107,611.6592409001528,251.51627520414496,-426.95281258000256,2
trend20_same_le_0.02,401.4771583367274,492.99809397600313,3721.7315960458936,2.0944509549563466,-12494.702602799982,506.2231261688196,330.9705491103876,197.77262066714016,-357.0605043039983,2
trend5_same_le_0.05,835.6014368538953,923.5723724551983,4738.173438019307,3.081981188709584,-12494.702602799982,787.453137019359,867.2815855046531,424.1297821742311,-314.62523814599956,3
disp2_le_0.04,827.1492122577463,917.1375503823999,4783.058195586488,3.0317878941468672,-12494.702602799982,787.453137019359,853.2727739052693,438.82507032811463,-289.2293210659991,3
none,821.6299861418006,912.0882568551991,4785.120388970964,3.013797025256637,-12494.702602799982,787.453137019359,844.0848534410059,435.319757035365,-289.2293210659991,3
coherence_ge_0.05,821.6299861418006,912.0882568551991,4785.120388970964,3.013797025256637,-12494.702602799982,787.453137019359,844.0848534410059,435.319757035365,-289.2293210659991,3
max_scale_1.5,821.6299861418006,912.0882568551991,4785.120388970964,3.013797025256637,-12494.702602799982,787.453137019359,844.0848534410059,435.319757035365,-289.2293210659991,3
exposure_1.0,821.6299861418006,912.0882568551991,4785.120388970964,3.013797025256637,-12494.702602799982,787.453137019359,844.0848534410059,435.319757035365,-289.2293210659991,3
