portfolio,asset_idx,asset,multiplier,asset_mean_pl,asset_std_pl,asset_sharpe,asset_score,asset_worst_day,asset_q05,asset_q95,variance_contribution_frac,avg_contribution_on_worst20,worst20_total_avg
all_full_raw,0,ALGO,1.0,166.50524075920026,818.5847879300733,3.216134790906689,151.8267990742111,-2227.705192800003,-1230.5264452500014,1634.636448719999,0.16980501530112863,-1338.4331095800003,-7935.901725880001
all_full_raw,1,AENO,1.0,9.061654131999981,159.86506992017823,0.8962391359195572,4.036459996654091,-414.99962000000056,-250.275037400001,299.94922275,0.018263766074674937,-76.07563734999971,-7935.901725880001
all_full_raw,2,LSST,1.0,10.008226260000036,193.75210443138215,0.8167341049737384,4.004687881207412,-603.8489979999997,-344.25676664999946,341.0817173500004,0.017044625705875734,-166.12582055000013,-7935.901725880001
all_full_raw,3,SRNA,1.0,15.41429633199999,132.99826710489864,1.8325157913318253,11.877377406018335,-343.4257090000015,-225.76065164999963,240.1985664500004,0.014438473407327772,-70.75308029999994,-7935.901725880001
all_full_raw,4,ELLT,1.0,13.225100883999987,148.51779733393826,1.4079605888886118,8.790649028060747,-540.4845159999991,-228.02302260000044,255.9860590999999,0.012710449695971949,-137.99339529999986,-7935.901725880001
all_full_raw,5,AMRP,1.0,0.4835683479999902,226.6739295984274,0.033730773246706584,0.0005495618999936773,-840.9582550000014,-368.8729564499993,375.14544389999924,0.020527263468618277,-124.74091084999971,-7935.901725880001
all_full_raw,6,OTCS,1.0,13.790304360000011,234.683043719994,0.9290993229272523,6.388997338311267,-758.6543449999999,-372.1055139999998,411.4856626499996,0.013882922611280376,-61.94097710000004,-7935.901725880001
all_full_raw,7,HETT,1.0,6.092425523999981,121.51043110243778,0.792769022214351,2.3512587068674806,-421.6183359999993,-203.04090654999973,232.81419359999958,0.01035972527486074,-60.934454400000085,-7935.901725880001
all_full_raw,8,HUXZ,1.0,25.56499456799998,190.63258072364687,2.120403839097902,20.9135259448445,-623.7064689999996,-273.5421962000005,353.1209409999995,0.021816978409627756,-113.56457010000022,-7935.901725880001
all_full_raw,9,DUCT,1.0,27.333325923999954,171.77686821317843,2.5159256553768947,23.60429914235669,-693.6932639999993,-245.93189655000054,320.4203782500004,0.019316831828631243,-157.10530575000013,-7935.901725880001
all_full_raw,10,SMAH,1.0,5.230071511999972,181.18513875764313,0.45640990251422836,0.9016528811526944,-579.0277679999997,-336.12129869999984,284.3872374999996,0.019453252484437987,-212.11098024999993,-7935.901725880001
all_full_raw,11,NPCK,1.0,11.390830595999955,157.25403821852524,1.1453114187896793,6.463442897301759,-436.60846999999904,-260.9112376000001,312.666283399999,0.01579542527092653,-101.42082914999995,-7935.901725880001
all_full_raw,12,MSDP,1.0,14.561662748,189.11026176069606,1.2174913295074539,8.695429844917522,-595.8707649999996,-316.64942850000114,317.7914556,0.017803410575797415,-146.38907945,-7935.901725880001
all_full_raw,13,EORC,1.0,11.597420304000003,194.05163203224407,0.9449614713064742,5.470788890525821,-552.9895030000001,-338.8653111999993,333.67942149999965,0.019138178895554917,-94.28564194999973,-7935.901725880001
all_full_raw,14,CUBO,1.0,16.42573988000001,137.046323967533,1.8950800273404773,12.848182630579233,-417.50953400000117,-204.42807659999963,258.7685451499997,0.015289388834706978,-102.66419835000029,-7935.901725880001
all_full_raw,15,HRET,1.0,25.251370431999995,192.65930632159075,2.0723588735562988,20.482165887017437,-555.5425999999993,-257.07821250000063,324.58441514999953,0.013731868024822156,-69.58226390000002,-7935.901725880001
all_full_raw,16,ANSO,1.0,13.435858871999992,172.62973695694131,1.2306082690347366,8.092287267385348,-439.3681389999998,-237.93820735000006,323.72238140000053,0.015331881597263994,-152.06874895000004,-7935.901725880001
